,mean_return,daily_vol,annual_vol,beta
MSFT,0.10652609222055677,1.7860780526112625,28.353110096159632,1.1760146105732232
AAPL,0.11401839058225827,1.940103527822797,30.798188714029216,1.2156789984667598
NVDA,0.23341764347712787,3.231795402040508,51.30316153224714,1.822258823321799
AVGO,0.17368031751584753,2.6064920415235444,41.376778416842036,1.418902536575484
ORCL,0.10237307637061245,2.250021620062202,35.71798590721947,1.0240970059141075
CRM,0.0739917253920437,2.3195671898378647,36.82198760169563,1.2213205017682158
ADBE,0.05991727812710872,2.262743292192128,35.91993619151959,1.2479166779906876
AMD,0.20785698435596806,3.4722209092162513,55.119798137188695,1.698366325568607
QCOM,0.0900308082287142,2.4948473288527957,39.60447354730966,1.3534524178219598
^GSPC,0.05441309398515276,1.234874113139088,19.603018823024794,0.9999999999999996
^VIX,0.3680009631652441,8.835957846515221,140.26648234157463,-5.123128453457801
